Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
152,Cam Akers,LAR,RB,23,11,5,0,0,0,0,0,113,376,3.33,4,8,4,19,4.75,0,2,2,4,,,60,63.5,68.5,61.5,,49,

153,Nico Collins,HOU,WR,23,10,7,0,0,0,0,0,0,0,,0,66,37,481,13.00,2,0,0,2,,,60,97.1,100.1,78.6,,57,

154,Tyler Conklin,NYJ,TE,27,13,13,0,0,0,0,0,1,1,1.00,0,71,45,418,9.29,3,2,0,3,,,60,104.9,107.9,82.4,,14,

155,Mitchell Trubisky,PIT,QB,28,6,4,100,158,1073,4,5,13,29,2.23,1,0,0,0,,0,0,0,1,,1,60,59.8,67.8,64.8,,34,

156,Brandin Cooks,HOU,WR,29,10,10,0,0,0,0,0,2,7,3.50,0,71,44,520,11.82,1,0,0,1,,,59,102.7,105.7,80.7,,58,

157,Noah Fant,SEA,TE,25,14,13,0,0,0,0,0,0,0,,0,53,42,414,9.86,3,0,0,3,,,59,101.4,104.4,80.4,,15,

158,Dalton Schultz,DAL,TE,26,11,11,0,0,0,0,0,0,0,,0,62,41,430,10.49,3,1,1,3,,,59,100.0,104.0,79.5,,16,

159,Olamide Zaccheaus,ATL,WR,25,13,9,0,0,0,0,0,2,7,3.50,0,44,32,478,14.94,2,1,1,2,,,59,90.5,94.5,74.5,,59,

160,Corey Davis,NYJ,WR,27,10,8,0,0,0,0,0,0,0,,0,48,26,460,17.69,2,0,0,2,,,58,84.0,87.0,71.0,,60,

161,Darrell Henderson,LAR,RB,25,10,7,0,0,0,0,0,70,283,4.04,3,22,17,102,6.00,0,0,0,3,,,57,73.5,79.5,65.0,,50,

162,Cooper Rush,DAL,QB,29,8,5,94,161,1051,5,3,9,6,0.67,0,0,0,0,,0,2,0,0,,,57,56.6,62.6,59.6,,35,

163,Chase Claypool,2TM,WR,24,13,11,1,1,1,1,0,9,59,6.56,0,72,44,422,9.59,1,1,1,1,,,56,100.1,104.1,78.1,,62,

164,Dontrell Hilliard,TEN,RB,27,12,1,0,0,0,0,0,22,145,6.59,0,26,21,177,8.43,4,0,0,4,,,56,77.2,83.2,66.7,,51,

165,Chris Moore,HOU,WR,29,12,3,0,0,0,0,0,2,5,2.50,0,51,37,438,11.84,2,0,0,2,,,56,93.3,96.3,74.8,,61,

166,Jahan Dotson,WAS,WR,22,8,6,0,0,0,0,0,2,-7,-3.50,0,35,19,233,12.26,5,0,0,5,1,,55,73.6,76.6,64.1,,64,

167,Dawson Knox,BUF,TE,26,12,12,0,0,0,0,0,0,0,,0,50,37,368,9.95,3,0,0,3,,,55,91.8,94.8,73.3,,17,

168,Nick Westbrook-Ikhine,TEN,WR,25,13,10,0,0,0,0,0,0,0,,0,41,22,370,16.82,3,0,0,3,,,55,77.0,80.0,66.0,,63,

169,James Cook,BUF,RB,23,13,0,0,0,0,0,0,64,329,5.14,1,25,16,160,10.00,0,1,1,1,,,53,68.9,75.9,60.9,,52,

170,Hunter Henry,NWE,TE,28,13,11,0,0,0,0,0,0,0,,0,42,28,406,14.50,2,0,0,2,,,53,80.6,83.6,66.6,,18,

171,Marvin Jones,JAX,WR,32,12,8,0,0,0,0,0,0,0,,0,58,33,407,12.33,2,0,0,2,,,53,85.7,88.7,69.2,,65,

172,Brock Purdy,SFO,QB,23,6,2,62,93,678,6,2,15,3,0.20,1,0,0,0,,0,0,0,1,,,53,53.4,58.4,55.4,,36,

173,Mike White,NYJ,QB,27,3,3,80,129,952,3,2,6,9,1.50,1,0,0,0,,0,1,0,1,,,53,53.0,58.0,55.0,,37,

174,Noah Brown,DAL,WR,26,12,11,0,0,0,0,0,0,0,,0,53,34,484,14.24,1,1,1,1,,,52,86.4,90.4,69.4,,66,

175,Kenneth Gainwell,PHI,RB,23,13,0,0,0,0,0,0,41,183,4.46,4,20,14,95,6.79,0,0,0,4,,,52,65.8,68.8,58.8,,53,

176,Michael Gallup,DAL,WR,26,10,7,0,0,0,0,0,0,0,,0,55,30,337,11.23,3,0,0,3,,,52,81.7,84.7,66.7,,69,

177,Hayden Hurst,CIN,TE,29,12,12,0,0,0,0,0,0,0,,0,63,48,400,8.33,2,0,0,2,,,52,100.0,103.0,76.0,,19,

178,DeVante Parker,NWE,WR,29,12,10,0,0,0,0,0,0,0,,0,40,25,460,18.40,1,0,0,1,,,52,77.0,80.0,64.5,,67,

